	id	lot_area	mas_vnr_area	total_bsmt_sf	1st_flr_sf	2nd_flr_sf	gr_liv_area	bsmt_full_bath	full_bath	half_bath	totrms_abvgrd	fireplaces	garage_area	wood_deck_sf	open_porch_sf	age	years_reno	overall_qual_10	overall_qual_2	overall_qual_3	overall_qual_4	overall_qual_5	overall_qual_6	overall_qual_7	overall_qual_8	overall_qual_9	bldg_type_2fmCon	bldg_type_Duplex	bldg_type_Twnhs	bldg_type_TwnhsE	bsmtfin_type_1_1	bsmtfin_type_1_2	bsmtfin_type_1_3	bsmtfin_type_1_4	bsmtfin_type_1_5	bsmtfin_type_1_6	paved_drive_P	paved_drive_Y	kitchen_qual_Fa	kitchen_qual_Gd	kitchen_qual_TA	exter_qual_Fa	exter_qual_Gd	exter_qual_TA	garage_qual_1	garage_qual_2	garage_qual_3	garage_qual_4	garage_qual_5	gr_liv_area*total_basement_sf	age*years_reno	gr_liv_area**2
0	2658	9142	0.0	1020	908	1020	1928	0	2	0	9	0	440	0	60	96	56	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1966560	1966560	3717184
1	2718	9662	0.0	1967	1967	0	1967	0	2	0	10	0	580	170	0	29	29	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	3869089	3869089	3869089
2	2414	17104	0.0	654	664	832	1496	1	2	1	7	1	426	100	24	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	978384	978384	2238016
3	1989	8520	0.0	968	968	0	968	0	1	0	5	0	480	0	0	84	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	937024	937024	937024
4	625	9500	247.0	1394	1394	0	1394	1	1	1	6	2	514	0	76	46	46	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1943236	1943236	1943236
5	333	1890	0.0	546	546	546	1092	0	1	1	5	0	286	0	0	38	38	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	596232	596232	1192464
6	1327	8516	0.0	869	1093	0	1093	0	1	0	5	0	308	0	0	50	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	949817	949817	1194649
7	858	9286	0.0	1268	1268	0	1268	0	1	1	5	0	252	173	0	32	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1607824	1607824	1607824
8	95	3515	0.0	840	840	840	1680	0	2	1	3	0	588	0	111	6	6	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1411200	1411200	2822400
9	1568	10125	0.0	1196	1279	0	1279	0	2	0	6	2	473	238	83	31	31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1529684	1529684	1635841
10	2482	7175	0.0	1217	1217	0	1217	0	2	0	5	0	484	0	64	15	15	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	1481089	1481089	1481089
